Attribute,level,Nan_values,
ALTERSKATEGORIE_GROB,ordinal,no null,
ANREDE_KZ,nominal,no null,
ANZ_HAUSHALTE_AKTIV,numeric,mean,
ANZ_HH_TITEL,numeric,mean,
ANZ_PERSONEN,numeric,mean,
ANZ_TITEL,numeric,mean,
BALLRAUM,ordinal,mean,
CAMEO_DEUG_2015,nominal,zero,
CJT_GESAMTTYP,nominal,zero,
D19_BANKEN_ANZ_12,ordinal,no null,no
D19_BANKEN_ANZ_24,ordinal,no null,
D19_BANKEN_DATUM,ordinal,no null,versa
D19_BANKEN_DIREKT,ordinal,no null,
D19_BANKEN_GROSS,ordinal,no null,
D19_BANKEN_LOKAL,nominal,no null,
D19_BANKEN_OFFLINE_DATUM,ordinal,no null,versa
D19_BANKEN_ONLINE_DATUM,ordinal,no null,versa
D19_BEKLEIDUNG_GEH,ordinal,no null,
D19_BEKLEIDUNG_REST,ordinal,no null,
D19_BILDUNG,nominal,no null,
D19_BIO_OEKO,ordinal,no null,
D19_BUCH_CD,ordinal,no null,
D19_DIGIT_SERV_RZ,ordinal,no null,
D19_DROGERIEARTIKEL,ordinal,no null,
D19_ENERGIE,ordinal,no null,
D19_FREIZEIT,ordinal,no null,
D19_GARTEN,ordinal,no null,
D19_GESAMT_ANZ_12,ordinal,no null,
D19_GESAMT_ANZ_24,ordinal,no null,
D19_GESAMT_DATUM,ordinal,no null,versa
D19_GESAMT_OFFLINE_DATUM,ordinal,no null,versa
D19_GESAMT_ONLINE_DATUM,ordinal,no null,versa
D19_HANDWERK,ordinal,no null,
D19_HAUS_DEKO,ordinal,no null,
D19_KINDERARTIKEL,ordinal,no null,
D19_KOSMETIK,ordinal,no null,
D19_LEBENSMITTEL,ordinal,no null,
D19_NAHRUNGSERGAENZUNG,ordinal,no null,
D19_RATGEBER,ordinal,no null,
D19_REISEN,ordinal,no null,
D19_SAMMELARTIKEL,ordinal,no null,
D19_SCHUHE,ordinal,no null,
D19_SONSTIGE,ordinal,no null,
D19_TECHNIK,ordinal,no null,
D19_TELKO_ANZ_12,ordinal,no null,
D19_TELKO_ANZ_24,ordinal,no null,
D19_TELKO_DATUM,ordinal,no null,versa
D19_TELKO_MOBILE,nominal,no null,versa
D19_TELKO_OFFLINE_DATUM,ordinal,no null,versa
D19_TELKO_ONLINE_DATUM,ordinal,no null,versa
D19_TELKO_REST,ordinal,no null,
D19_TIERARTIKEL,ordinal,no null,
D19_VERSAND_ANZ_12,ordinal,no null,
D19_VERSAND_ANZ_24,ordinal,no null,
D19_VERSAND_DATUM,ordinal,no null,versa
